Symbol,Sector,SM20,SM50,EPS TR,Price Change
CGC,Healthcare | Drug Manufacturers - Specialty Generic | Canada,-1.19%,-3.17%,Perfect,-17.15%
UTHR,Healthcare | Biotechnology | USA,-0.78%,-4.05%,Ok,-4.51%
ALLE,Industrials | Security Protection Services | Ireland,-2.52%,2.25%,Ok,-1.63%
VRT,Industrials | Electrical Equipment Parts | USA,1.61%,7.08%,0.674,1.70%
GIL,Consumer Cyclical | Apparel Manufacturing | Canada,-4.90%,-1.90%,Perfect,5.41%
CERE,Healthcare | Biotechnology | USA,-7.35%,-1.53%,Ok,-13.77%
DRVN,Consumer Cyclical | Auto Truck Dealerships | USA,-2.76%,-0.49%,Good,-0.68%
IART,Healthcare | Medical Devices | USA,-2.21%,-0.73%,Ok,-1.16%
TNL,Consumer Cyclical | Travel Services | USA,-4.52%,2.55%,Ok,1.08%
IBP,Consumer Cyclical | Residential Construction | USA,-5.31%,5.09%,Good,7.33%
AVA,Utilities | Utilities - Diversified | USA,0.11%,-3.26%,Bad,2.68%
LIVN,Healthcare | Medical Devices | United Kingdom,-2.05%,-1.69%,Ok,-10.92%
BCO,Industrials | Security Protection Services | USA,-3.20%,3.08%,Good,12.57%
THRM,Consumer Cyclical | Auto Parts | USA,-3.45%,-0.17%,Good,-6.85%
SHO,Real Estate | REIT - Hotel Motel | USA,-5.40%,-0.75%,Perfect,3.65%
CSTM,Basic Materials | Aluminum | France,-4.26%,4.90%,Perfect,13.50%
ROCK,Industrials | Building Products Equipment | USA,-3.17%,4.90%,Ok,0.40%
FVRR,Communication Services | Internet Content Information | Israel,-4.88%,9.92%,Ok,18.85%
WWW,Consumer Cyclical | Footwear Accessories | USA,-2.01%,16.53%,Bad,6.32%
PRG,Industrials | Rental Leasing Services | USA,0.67%,14.08%,Bad,9.08%
OSW,Consumer Cyclical | Leisure | Bahamas,0.10%,4.55%,0.077,-0.37%
SMP,Consumer Cyclical | Auto Parts | USA,-0.64%,6.01%,Ok,2.21%
ECC,Financial | Closed-End Fund - Debt | USA,-0.21%,1.68%,Bad,2.22%
DSX,Industrials | Marine Shipping | Greece,3.86%,8.81%,Ok,8.61%
KLTR,Technology | Software - Infrastructure | USA,-2.26%,4.52%,Ok,-1.99%
BABA,Consumer Cyclical | Internet Retail | China,-12.54%,-7.97%,Perfect,-0.65%
BHC,Healthcare | Drug Manufacturers - Specialty Generic | Canada,7.02%,14.31%,Bad,14.00%
PCG,Utilities | Utilities - Regulated Electric | USA,-1.05%,-1.92%,Ok,-1.55%
IRM,Real Estate | REIT - Specialty | USA,-5.98%,-3.60%,0.545,4.23%
RCII,Industrials | Rental Leasing Services | USA,-1.56%,7.39%,Bad,-1.07%
AEP,Utilities | Utilities - Regulated Electric | USA,-1.28%,-3.47%,Ok,-0.12%
GNL,Real Estate | REIT - Diversified | USA,-4.20%,0.80%,0,3.08%
AMT,Real Estate | REIT - Specialty | USA,-8.59%,-8.53%,0.681,1.34%
MPW,Real Estate | REIT - Healthcare Facilities | USA,-3.37%,-0.74%,Good,-8.69%
PLNT,Consumer Cyclical | Leisure | USA,-3.36%,-1.31%,Ok,5.28%
VCEL,Healthcare | Biotechnology | USA,-2.02%,5.56%,Perfect,7.29%
NEO,Healthcare | Diagnostics Research | USA,8.11%,19.06%,Bad,24.57%
PLYM,Real Estate | REIT - Industrial | USA,-4.28%,0.97%,-0.449,4.79%
CWEN,Utilities | Utilities - Renewable | USA,-3.46%,-2.95%,-7.018,-2.78%
NEM,Basic Materials | Gold | USA,-11.22%,-10.93%,Bad,0.07%
LNG,Energy | Oil Gas Midstream | USA,-0.97%,-2.39%,Perfect,9.44%
DPZ,Consumer Cyclical | Restaurants | USA,-1.61%,-0.96%,Bad,-11.65%
VIPS,Consumer Cyclical | Internet Retail | China,-8.53%,-6.07%,Good,0.37%
W,Consumer Cyclical | Internet Retail | USA,-14.61%,7.63%,Ok,-23.05%
NTES,Communication Services | Electronic Gaming Multimedia | China,-3.07%,4.75%,Perfect,-3.67%
NICE,Technology | Software - Application | Israel,-0.90%,4.92%,Bad,-2.55%
YETI,Consumer Cyclical | Leisure | USA,-9.03%,-7.81%,Ok,-1.08%
KDP,Consumer Defensive | Beverages - Non-Alcoholic | USA,1.56%,0.07%,Ok,0.92%
AG,Basic Materials | Silver | Canada,-8.81%,-15.49%,-0.733,-2.30%
DISH,Communication Services | Telecom Services | USA,-8.39%,-9.48%,Ok,5.20%
AAWW,Industrials | Airports Air Services | USA,-0.27%,0.33%,Bad,-0.04%
DTE,Utilities | Utilities - Regulated Electric | USA,-0.94%,-2.91%,Ok,-0.43%
GPC,Consumer Cyclical | Specialty Retail | USA,1.60%,0.90%,Ok,3.36%
RWLK,Healthcare | Medical Devices | Israel,-5.51%,-3.53%,Perfect,-2.98%
MFA,Real Estate | REIT - Mortgage | USA,-6.95%,-3.62%,-1.137,2.63%
PZZA,Consumer Cyclical | Restaurants | USA,1.08%,6.65%,Bad,-6.11%
MRNA,Healthcare | Biotechnology | USA,-10.03%,-13.98%,Perfect,-6.70%
NTLA,Healthcare | Biotechnology | USA,-5.70%,1.15%,Perfect,0.08%
ALNY,Healthcare | Biotechnology | USA,-9.93%,-12.10%,Perfect,-2.42%
CBRE,Real Estate | Real Estate Services | USA,-0.51%,4.46%,Good,1.06%
LKQ,Consumer Cyclical | Auto Parts | USA,-1.20%,1.63%,Ok,-0.72%
CIO,Real Estate | REIT - Office | USA,-7.76%,-3.65%,Perfect,-0.23%
NVCR,Healthcare | Medical Instruments Supplies | USA,-7.95%,-3.86%,Ok,-4.54%
EME,Industrials | Engineering Construction | USA,-0.66%,-0.79%,Ok,10.63%
TNK,Energy | Oil Gas Midstream | Canada,10.68%,18.49%,Perfect,13.28%
WOW,Communication Services | Telecom Services | USA,-0.17%,9.82%,0.286,6.80%
PWR,Industrials | Engineering Construction | USA,-2.52%,0.63%,Ok,7.56%
CLDT,Real Estate | REIT - Hotel Motel | USA,-4.00%,0.66%,-0.156,-1.22%
SRCL,Industrials | Waste Management | USA,1.48%,5.21%,Bad,-11.47%
FCN,Industrials | Consulting Services | USA,1.03%,2.16%,Ok,10.47%
AGIO,Healthcare | Biotechnology | USA,-9.28%,-8.22%,Bad,-1.73%
TFX,Healthcare | Medical Instruments Supplies | USA,-2.70%,-2.63%,Ok,-2.07%
BBWI,Consumer Cyclical | Specialty Retail | USA,-6.59%,-4.85%,Good,3.99%
BLD,Industrials | Engineering Construction | USA,-0.15%,10.40%,Good,3.64%
FTI,Energy | Oil Gas Equipment Services | United Kingdom,-3.65%,3.74%,-0.909,6.35%
EXLS,Technology | Information Technology Services | USA,-0.79%,-0.95%,Good,1.10%
OPCH,Healthcare | Medical Care Facilities | USA,0.44%,-1.23%,Ok,10.53%
LNTH,Healthcare | Drug Manufacturers - Specialty Generic | USA,-0.01%,7.02%,Perfect,20.15%
DEN,Energy | Oil Gas E P | USA,-4.62%,-5.01%,Ok,-1.43%
ENOV,Industrials | Specialty Industrial Machinery | USA,-2.00%,5.12%,Good,-6.45%
CCOI,Communication Services | Telecom Services | USA,-2.97%,4.70%,0.435,-5.63%
NOMD,Consumer Defensive | Packaged Foods | United Kingdom,-1.05%,0.80%,Good,-3.54%
INSM,Healthcare | Biotechnology | USA,0.32%,4.78%,Ok,-2.49%
SHOO,Consumer Cyclical | Footwear Accessories | USA,-4.43%,0.08%,Perfect,6.35%
AMR,Basic Materials | Coking Coal | USA,0.06%,5.17%,Bad,-2.20%
PRMW,Consumer Defensive | Beverages - Non-Alcoholic | USA,3.17%,4.55%,Bad,-1.84%
TAC,Utilities | Utilities - Independent Power Producers | Canada,-4.66%,-3.91%,0.449,-3.04%
XPRO,Energy | Oil Gas Equipment Services | USA,-1.15%,8.27%,-0.476,4.10%
MGPI,Consumer Defensive | Beverages - Wineries Distilleries | USA,0.01%,-6.36%,Perfect,10.47%
KYMR,Healthcare | Biotechnology | USA,-10.35%,0.82%,Perfect,5.17%
NABL,Technology | Information Technology Services | USA,-0.30%,-0.58%,Bad,15.11%
HLMN,Industrials | Tools Accessories | USA,-5.94%,5.35%,Perfect,-0.45%
LAUR,Consumer Defensive | Education Training Services | USA,-3.87%,1.31%,0.224,15.50%
COMM,Technology | Communication Equipment | USA,-10.75%,-7.77%,Perfect,16.58%
SATS,Technology | Communication Equipment | USA,-2.67%,2.16%,Bad,13.50%
MODV,Healthcare | Medical Care Facilities | USA,-4.37%,2.05%,Perfect,3.73%
TRS,Consumer Cyclical | Packaging Containers | USA,-0.75%,3.92%,Bad,-2.54%
NKLA,Industrials | Farm Heavy Construction Machinery | USA,-9.79%,-4.90%,Bad,-5.58%
CARS,Consumer Cyclical | Auto Truck Dealerships | USA,1.74%,13.42%,0.03,12.54%
SPTN,Consumer Defensive | Food Distribution | USA,-0.23%,0.37%,Good,-15.60%
SHYF,Industrials | Farm Heavy Construction Machinery | USA,-6.03%,4.98%,Perfect,-14.06%
KRP,Energy | Oil Gas E P | USA,-8.58%,-9.86%,Perfect,9.12%
RSKD,Technology | Software - Application | Israel,0.13%,11.83%,Bad,-6.19%
HOUS,Real Estate | Real Estate Services | USA,-13.41%,-4.77%,Bad,-12.04%
THRY,Communication Services | Internet Content Information | USA,5.06%,18.20%,Perfect,-0.33%
MYTE,Consumer Cyclical | Luxury Goods | Germany,-10.46%,-6.50%,Good,-6.72%
BAND,Technology | Software - Infrastructure | USA,-5.09%,-0.85%,0.131,-26.98%
RUTH,Consumer Cyclical | Restaurants | USA,5.57%,8.87%,Perfect,-0.05%
CYD,Industrials | Specialty Industrial Machinery | Singapore,-3.05%,5.88%,Good,1.69%
NREF,Real Estate | REIT - Mortgage | USA,-4.59%,1.49%,Good,2.85%
NAUT,Healthcare | Biotechnology | USA,-0.70%,7.11%,Bad,-7.00%
LAZY,Consumer Cyclical | Auto Truck Dealerships | USA,-1.35%,-0.30%,Bad,-6.27%
CTG,Technology | Information Technology Services | USA,-1.45%,-0.07%,Good,4.02%
CMLS,Communication Services | Broadcasting | USA,-4.06%,-7.38%,Bad,0.32%
IMUX,Healthcare | Biotechnology | USA,-14.27%,10.59%,Ok,4.23%
UNIT,Real Estate | REIT - Specialty | USA,-7.33%,-4.13%,-0.056,-2.61%
GTN,Communication Services | Broadcasting | USA,1.92%,7.71%,Ok,-4.16%
CM,Financial | Banks - Diversified | Canada,-1.04%,4.29%,Ok,2.14%
SLCA,Energy | Oil Gas Equipment Services | USA,-7.55%,-8.18%,Perfect,11.94%
IEP,Industrials | Conglomerates | USA,-0.05%,2.58%,-2.618,0.33%
ACMR,Technology | Semiconductor Equipment Materials | USA,-7.10%,9.22%,Perfect,-0.60%
HEP,Energy | Oil Gas Midstream | USA,-2.86%,-1.95%,Bad,0.16%
SSP,Communication Services | Broadcasting | USA,-1.54%,3.48%,Bad,-13.48%
DINO,Energy | Oil Gas Refining Marketing | USA,-2.37%,0.94%,Perfect,-5.61%
FYBR,Communication Services | Telecom Services | USA,-3.62%,2.27%,Perfect,-6.07%
GTLS,Industrials | Specialty Industrial Machinery | USA,-1.53%,4.38%,Ok,6.07%
BCPC,Basic Materials | Specialty Chemicals | USA,-1.47%,3.15%,Ok,-0.87%
PNM,Utilities | Utilities - Regulated Electric | USA,0.03%,0.27%,Good,0.04%
CRI,Consumer Cyclical | Apparel Retail | USA,-7.65%,-5.28%,Ok,0.14%
BRC,Industrials | Security Protection Services | USA,-1.18%,5.05%,Ok,3.37%
DBRG,Real Estate | Real Estate Services | USA,-4.11%,8.02%,-9.077,-11.20%
NWN,Utilities | Utilities - Regulated Gas | USA,-2.73%,-1.18%,Ok,-1.18%
CNK,Communication Services | Entertainment | USA,8.14%,20.47%,Bad,1.38%
TBLA,Communication Services | Internet Content Information | USA,2.27%,19.45%,-0.042,-19.12%
TPB,Consumer Defensive | Tobacco | USA,-4.58%,-0.46%,Perfect,10.96%
FMX,Consumer Defensive | Beverages - Brewers | Mexico,8.03%,12.90%,Bad,-1.03%
HSC,Industrials | Waste Management | USA,-1.50%,9.86%,Perfect,4.34%
BGCP,Financial | Capital Markets | USA,-3.48%,0.82%,Ok,13.13%
GLP,Energy | Oil Gas Midstream | USA,-4.40%,1.15%,Perfect,2.17%
AES,Utilities | Utilities - Diversified | USA,-3.87%,-7.11%,Ok,-1.74%
AXSM,Healthcare | Biotechnology | USA,-8.67%,-12.93%,Bad,4.96%
TREE,Financial | Financial Conglomerates | USA,-11.70%,18.70%,Bad,-13.56%
NAT,Industrials | Marine Shipping | Bermuda,13.08%,18.10%,Bad,11.84%
TGNA,Communication Services | Broadcasting | USA,7.63%,7.59%,Ok,-18.91%
KOP,Basic Materials | Specialty Chemicals | USA,0.93%,8.01%,Ok,2.50%
PNW,Utilities | Utilities - Regulated Electric | USA,-1.55%,-2.90%,Good,0.99%
CGEN,Healthcare | Biotechnology | Israel,-12.10%,-12.43%,Bad,2.17%
VTRS,Healthcare | Drug Manufacturers - Specialty Generic | USA,-3.04%,-0.63%,Ok,-2.69%
BXSL,Financial | Asset Management | USA,3.06%,7.24%,Ok,2.73%
FRPT,Consumer Defensive | Packaged Foods | USA,-4.65%,3.00%,Perfect,1.69%
ITRI,Technology | Scientific Technical Instruments | USA,-4.57%,-0.65%,Perfect,-5.29%
FSR,Consumer Cyclical | Auto Manufacturers | USA,-21.64%,-21.16%,Ok,30.28%
FREY,Industrials | Electrical Equipment Parts | Luxembourg,-6.29%,-11.68%,Bad,13.20%
FUBO,Communication Services | Broadcasting | USA,-5.81%,5.56%,Good,-13.79%
LINC,Consumer Defensive | Education Training Services | USA,-6.59%,-1.64%,Perfect,-3.00%
